Name,ConflictStatus,Description,Notes,Publishable,InternalNotes,Stories,Ethics Doc Lines
K Maryland Associates,Active,,,To Discuss,,,"1148,1151,1149,1284,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
Microsoft,Resolved,,,To Discuss,,,"1301,1302,1303,1304"
Trump Chicago Commercial,Active,,,To Discuss,,,"318,317"
Dt Jeddah Technical Services Advisor,Unclear,,Marked as Unclear by HN on 8/23/18. ,To Discuss,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,"81,80"
Dt Connect Europe,Active,,,To Discuss,,,69
Trump Marks Sunny Isles Ii,Active,,,To Discuss,,http://www.mcclatchydc.com/news/politics-government/white-house/article210477439.html,"458,457"
Toronto Development,Active,,,To Discuss,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,291
Getty Images,Unclear,The first lady earned six figures from an agreement with Getty Images that paid royalties to the Trumps and mandated photos be used in positive coverage.,,To Discuss,,https://www.nbcnews.com/politics/donald-trump/news-media-paid-melania-trump-thousands-use-photos-positive-stories-n883111,
Pine Hill Development,Active,,,To Discuss,,,"199,198"
C-III Capital Partners,Resolved,,,To Discuss,,,"805,unnamed record"
Dt Connect Ii,Active,,,To Discuss,,,"71,70"
Cherry Pines Apartments,Active,,,To Discuss,,,829
Wilshire Hall,Active,,,To Discuss,,,560
University of Texas,Resolved,,,To Discuss,,,"unnamed record,unnamed record"
Trump Realty Services (Formerly Trump Mortgage Services Or Tower Mortgage Services),Active,,,To Discuss,,,508
Nuveen (TIAA),Active,,,To Discuss,,,1389
Regal Bank,Resolved,,,To Discuss,,,"1489,1490"
K Stonehage Village 1 Associates,Active,,,To Discuss,,,"1159,978,979,980,981,1160,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
Donald J Trump Enterprises Ii,Active,,,To Discuss,,,51
The Art Of The Comeback,Active,,,To Discuss,,,266
U.S. money market,Unclear,,,To Discuss,,,
California St Dept of Wtr Resources Pwr Sply Revenue Ser M,Unclear,,,To Discuss,,,811
The America We Deserve,Active,,,To Discuss,,,265
Apollo Management,Unclear,,,To Discuss,,https://www.oge.gov/web/oge.nsf/All%20Documents/2C62A672E2AF5BAC8525825C00518004/$FILE/Letter%20to%20Congressman%20Krishnamoorthi.pdf?open,
Iroquois Properties,Active,,,To Discuss,,,"1057,1058,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
Valley National Bank,Active,,,To Discuss,,,unnamed record
Trump On The Ocean LLC,Unclear,,status missing,To Discuss,,,487
Hwa 1290 Ill,Active,,,To Discuss,,,159
Miss Universe (Formerly Trump Pageants),Active,,,To Discuss,,https://www.washingtonpost.com/politics/inside-trumps-financial-ties-to-russia-and-his-unusual-flattery-of-vladimir-putin/2016/06/17/dbdcaac8-31a6-11e6-8ff7-7b6c1998b7a0_story.html?utm_term=.58393114f26e,178
Proctor & Gamble,Unclear,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Stephanie Clifford (Aka Stormy Daniels),Unclear,"Pres. Trump allegedly paid a former porn star to keep quiet about their affair in 2006. She is now suing Trump, claiming the non-disclosure agreement is invalid.",,To Discuss,,"https://nypost.com/2018/03/05/bank-reported-trump-lawyers-payment-to-stormy-daniels-as-suspicious/,https://www.cnn.com/2018/03/08/opinions/stormy-daniels-trump-lawsuit-could-be-trouble-rangappa-opinion/index.html,https://www.washingtonpost.com/politics/in-new-financial-disclosure-trump-reports-apparent-payment-through-his-personal-attorney-to-adult-film-star/2018/05/16/cf6171f2-592c-11e8-b656-a5f8c2a9295d_story.html?noredirect=on&utm_term=.ded1e82e4416,https://www.cnn.com/2018/05/09/politics/michael-cohen-trump-lobbying/index.html,https://www.washingtonpost.com/politics/prosecutors-cancel-meeting-with-stormy-daniels/2018/06/25/ff69bdb2-7887-11e8-8df3-007495a78738_story.html?utm_term=.5773519d5874",
Trump Follies,Active,,,To Discuss,,,"352,351"
Trump Sales &Amp; Leasing Chicago,Active,,,To Discuss,,,"514,515"
Trump Marks White Plains,Active,,,To Discuss,,,"467,468"
Warren At Bay Associates,Resolved,,,To Discuss,,,"unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
THC Services Shenzhen,Active,,,To Discuss,,,"255,254"
Battery Park City,Unclear,,,To Discuss,,,772
Eid Venture Ii,Active,,,To Discuss,,,"134,133"
KUSHNER VILLAGE 325,Unclear,,,To Discuss,,,
Trump International Hotels Management D/B/A Trump Hotel Collection,Unclear,,to discuss,To Discuss,,"https://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html,https://www.washingtonpost.com/world/the_americas/trump-company-pulls-its-name-off-a-brazil-hotel-caught-up-in-an-investigation/2016/12/13/c332dc2c-b078-4885-8a29-5f29b7da442e_story.html?utm_term=.3f329b9e8342,https://www.nytimes.com/2016/12/14/world/americas/donald-trump-hotel-rio-brazil-investigation.html,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,http://money.cnn.com/2017/01/23/news/donald-trump-resigns-business/,https://www.npr.org/2017/05/11/527811206/sale-of-trump-property-raises-ethical-questions-about-potential-buyers-motives,https://www.washingtonpost.com/news/post-politics/wp/2017/08/01/the-asking-price-for-president-trumps-caribbean-estate-has-been-cut-dramatically/?utm_term=.63fee190a91a,https://newrepublic.com/article/147351/political-corruption-art-deal,http://www.foxnews.com/politics/2018/02/21/trump-jr-steals-spotlight-from-canadas-trudeau-as-india-visits-coincide.html,https://www.washingtonpost.com/world/trump-jr-to-give-foreign-policy-speech-while-on-unofficial-business-trip-to-india/2018/02/19/37d00c37-d9e8-40c4-934b-0a26b8160dcd_story.html?utm_term=.8a66e23946b3,https://www.fastcompany.com/40526424/trump-organization-revives-project-in-dominican-republic-roiling-local-politics,http://www.newsweek.com/if-trump-organization-launches-dominican-republic-projects-it-could-be-grounds-801765,https://sunlightfoundation.com/2018/02/02/this-week-in-conflicts-of-interest-a-resignation-disclosure-required-and-a-chance-to-meet-donald-trump-jr/,https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,http://www.newsweek.com/ocasio-cortez-impeach-trump-997615?amp=1,https://www.propublica.org/article/political-and-taxpayer-spending-at-trump-properties-16-1-million,https://www.washingtonpost.com/politics/at-president-trumps-hotel-in-new-york-revenue-went-up-this-spring--thanks-to-a-visit-from-big-spending-saudis/2018/08/03/58755392-9112-11e8-bcd5-9d911c784c38_story.html?utm_term=.3a97c3f2cf0f",371
KF-WIP Co. Investors,Active,,,To Discuss,,,1213
Trump Palace/Parc,Active,,,To Discuss,,,491
THC Baku Services,Active,,,To Discuss,,,"228,227"
809 North Canon,Active,,,To Discuss,,,"12,13"
approved,Unclear,,,To Discuss,,,
C Development Ventures,Active,,,To Discuss,,,"25,24"
Trump National Golf Club Member,Active,,,To Discuss,,,482
Dt Marks Jupiter,Active,,,To Discuss,,,101
Massachusetts St WTR Polutn Bonds,Unclear,,,To Discuss,,,1287
Briar Hall Operations,Active,,,To Discuss,,,"23,22"
Pepsico,Resolved,,,To Discuss,,,"1438,1439"
Trump World Golf Club Dubai,Unclear,,,To Discuss,,"https://www.mcclatchydc.com/news/politics-government/white-house/article213164779.html,https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.mcclatchydc.com/news/politics-government/white-house/article215089160.html,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html",
Deer Tree Building Associates,Active,,,To Discuss,,,865
The Way To The Top,Active,,,To Discuss,,,270
Highlander Hall,Unclear,,missing status,To Discuss,,,150
"Any relation to KF-BLS Member, LLC?",Unclear,,,To Discuss,,,
Trump International Hotel Hawaii,Active,,"7/25/2017 added management and license agreement details per 2017 financial disclosure, Part 2, ref. #071.",To Discuss,,"https://www.cnn.com/2018/06/28/politics/trump-irs-nominee-charles-rettig/index.html,http://www.newsweek.com/donald-trump-irs-nominee-hotel-999627?amp=1",370
Aviation Payroll Company,Active,,,To Discuss,,,19
Hary Tanoesoedibjo,Unclear,"Billionaire Hary Tanoesoedibjo, Trump's local partner in two Indonesian resort projects, is reportedly considering a run for national office in 2019.",,To Discuss,,"https://www.prnewswire.com/news-releases/trump-hotel-collection-announces-a-luxury-resort-and-residential-development-in-bali-300130927.html,http://mobile.nytimes.com/2016/12/31/world/asia/indonesia-donald-trump-resort.html,https://mobile.reuters.com/article/amp/idUSKCN1J12RP,https://www.nytimes.com/2018/05/28/business/ivanka-trump-china-trademarks.html,http://thehill.com/homenews/house/389571-more-than-60-dem-lawmakers-demand-ethics-investigation-into-trumps,https://www.npr.org/2018/06/07/617310039/trump-organization-deals-in-asia-fuel-debate-on-emoluments-lawsuit",
SQK Associates,Unclear,,,To Discuss,,,1552
Trump Marketing,Active,,,To Discuss,,,387
THC Dubai II Hotel Manager,Unclear,,to discuss,To Discuss,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","239,238"
New York NY Ser B,Unclear,,,To Discuss,,,1341
Trump Toronto Member (Formerly Trump Toronto Management),Active,,,To Discuss,,https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,522
CK Bergen Associates,Active,,,To Discuss,,,"835,661,664,667,672,673,711,722,750,836,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
Kinder Morgan,Unclear,"The connections to the energy industry doesn't stop there. The climate-change skeptic owns shares in Phillips 66 PSX -1.26% - a joint venture partner in the controversial Dakota Access pipeline, where demonstrations are ongoing, and in Kinder Morgan, another pipeline giant facing resistance for its plans to connect the Canadian oil sands to Vancouver, British Columbia.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Dttm Operations,Active,,,To Discuss,,,"127,126"
Bank of Nova Scotia,Unclear,"The populist billionaire has other Canadian holdings, including $500,000 to $1 million investments in the Bank of Nova Scotia and the Toronto Dominion Bank, and $1 million to $5 million worth of shares in the Royal Bank of Canada. Such investments add to the array of connections Trump already has with foreign entities - including nine figure debts owed to German lender Deutsche Bank and China’s state-controlled Bank of China.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Eid Venture I,Active,,,To Discuss,,,"132,131"
Trump Marks Magazine,Resolved,,,To Discuss,,,"421,422"
Trump Panama Condominium,Active,,,To Discuss,,"https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,https://www.apnews.com/ce4dbdd4446c4862bb9c483425554c67/Trump-officials-fight-eviction-from-Panama-hotel-they-manage,http://www.businessinsider.com/trump-organization-panama-hotel-conflict-2018-3,https://www.apnews.com/ce4dbdd4446c4862bb9c483425554c67/Trump-officials-fight-eviction-from-Panama-hotel-they-manage","493,492"
Puck Residential Associates,Active,,,To Discuss,,,"1483,1484,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
Trump National Golf Club - Colts Neck,Active,,,To Discuss,,,"475,474"
Trump 101: The Way To Success,Active,,,To Discuss,,,295
Landings Apartments,Active,,,To Discuss,,,"1242,1243,1244,1247,1250,1251,1252,unnamed record,unnamed record,unnamed record"
Djt Operations Cx,Active,,,To Discuss,,,47
Time To Get Tough,Active,,,To Discuss,,,280
"Durham County, NC",Resolved,,,To Discuss,,,937
Helicopter Air Services,Active,,,To Discuss,,,149
"New York, NY",Resolved,,,To Discuss,,,"1336,1295,1297,1337,1342,1344,1346,1512"
Reg-Tru Equities,Active,,,To Discuss,,,205
Trump Marks Palm Beach,Active,,,To Discuss,,,"433,434"
"Virginia Beach, VA",Resolved,,,To Discuss,,,"unnamed record,unnamed record"
KC Dumbo Office,Active,,,To Discuss,,,"1172,1173"
Westminster Linden,Active,,,To Discuss,,,unnamed record
JK Thrive IV,Resolved,,,To Discuss,,,"1117,1118"
Novartis,Unclear,,,To Discuss,,"https://www.citizen.org/sites/default/files/may_2018_cohen_complaint_final.pdf,https://www.cnn.com/2018/05/09/politics/michael-cohen-trump-lobbying/index.html",
Morgan Stanley,Resolved,"According to Trump’s May 2016 Federal Election Commission filing, which provides a range of values for each of his stock holdings, he owns anywhere from $500,000 to $1 million worth of shares each in Citigroup, JP Morgan Chase , Wells Fargo, Morgan Stanley and Goldman Sachs -- in other words, five of the famous “big six” banks.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,"1319,1320"
Trump Miami Resort,Active,,,To Discuss,,"https://www.washingtonpost.com/politics/in-little-moscow-russians-helped-donald-trumps-brand-survive-the-recession/2016/11/04/f9dbd38e-97cf-11e6-bb29-bf2701dbe0a3_story.html?utm_term=.a6cf0ab24f58,http://money.cnn.com/2017/01/23/news/donald-trump-resigns-business/,https://www.palmbeachpost.com/news/national-govt--politics/mar-lago-events-raise-money-for-politicos-revenues-for-trump/F0EK7JzzOeDTT6nTSe8qyO/amp.html,http://www.mcclatchydc.com/news/politics-government/white-house/article210477439.html","469,470"
Scion,Unclear,,,To Discuss,,https://mobile.nytimes.com/2018/06/21/business/trumps-kushners-end-hotel-deals.html,
Cap Cana,Unclear,Project being developed by the Trump Organization and the Cap Cana Group in the Dominican Republic.,,To Discuss,,"https://www.fastcompany.com/40526424/trump-organization-revives-project-in-dominican-republic-roiling-local-politics,http://www.newsweek.com/if-trump-organization-launches-dominican-republic-projects-it-could-be-grounds-801765",
Trump Project Management,Resolved,,,To Discuss,,,506
JK2 Westminster,Resolved,,,To Discuss,,,1121
Johnson & Johnson,Unclear,"Despite campaigning on the pledge of “taking on big businesses,” Trump own shares in big pharma companies including Pfizer, Merck, Celgene and GlaxoSmithKline; retailer Walmart, and consumer goods firms Procter & Gamble and Johnson & Johnson. He also hold stakes in a variety of multinational oil companies like Shell, Chevron and Exxon Mobil.",,To Discuss,,https://www.forbes.com/sites/jenniferwang/2016/11/29/trumps-stock-portfolio-big-oil-big-banks-and-more-foreign-connections/#30d204ea464e,
Trump Marks Atlanta,Active,,,To Discuss,,,"393,394"
Annie Veltri,Active,,,To Discuss,,,18
Paramount Rpv Holdings,Resolved,,listed in disclosure as dissolved as of 10/14/2016,To Discuss,,,"194,195"
Wollman Rink Operations,Active,,"7/25/2017 added operating agreement detail per 2017 financial disclosure, Part 2, ref. 119.",To Discuss,,,562
Claremount IV Associates,Resolved,,,To Discuss,,,"841,842"
Trump International Golf Club Scotland,Unclear,,status missing,To Discuss,,"https://www.washingtonpost.com/business/economy/a-scramble-to-assess-the-dangers-of-president-elects-global-business-empire/2016/11/20/1bbdc2a2-ad18-11e6-a31b-4b6397e625d0_story.html,https://www.nytimes.com/2016/11/21/business/with-a-meeting-trump-renewed-a-british-wind-farm-fight.html?_r=0,https://www.washingtonpost.com/politics/trumps-presidency-overseas-business-deals-and-relations-with-foreign-governments-could-all-become-intertwined/2016/11/25/d2bc83f8-b0e2-11e6-8616-52b15787add0_story.html?utm_term=.6474a90a3947,https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1,https://www.washingtonpost.com/politics/the-three-biggest-surprises-in-the-trump-organizations-financial-filings/2018/05/21/db2f0420-5c94-11e8-9ee3-49d6d4814c4c_story.html?utm_term=.64de8850a39d,https://www.mcclatchydc.com/news/politics-government/white-house/article214265614.html",365
Trump Marks Puerto Rico I,Active,,,To Discuss,,,"443,444"
Trump Canouan Estate,Active,,,To Discuss,,,"311,312"
Trump Tower Commercial,Active,,,To Discuss,,"https://www.bloomberg.com/graphics/2016-trump-40-wall-street/,https://www.theguardian.com/us-news/2018/may/04/trump-qatar-buys-apartment-new-york-tower,https://www.forbes.com/trump-tenants/#4fcc6c891d32,https://www.propublica.org/article/political-and-taxpayer-spending-at-trump-properties-16-1-million,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html,https://www.washingtonpost.com/politics/at-president-trumps-hotel-in-new-york-revenue-went-up-this-spring--thanks-to-a-visit-from-big-spending-saudis/2018/08/03/58755392-9112-11e8-bcd5-9d911c784c38_story.html?utm_term=.3a97c3f2cf0f",523
AT&T,Unclear,,,To Discuss,,"https://www.citizen.org/sites/default/files/may_2018_cohen_complaint_final.pdf,https://www.cnn.com/2018/05/09/politics/michael-cohen-trump-lobbying/index.html",
Marc Kasowitz,Unclear,"Marc Kasowitz, a Trump personal lawyer who has another client with business interests in Vietnam.",,To Discuss,,https://www.propublica.org/article/trump-inc-podcast-vietnam-casino,
THC Baku Hotel Manager Services,Active,,,To Discuss,,,"226,225"
KUSHNER VILLAGE 4 SPE,Unclear,,,To Discuss,,,
Trump Marks Istanbul Ii,Active,,,To Discuss,,https://www.nytimes.com/2016/11/26/us/politics/donald-trump-international-business.html?_r=1,"416,415"
Trump National Golf Club - Westchester,Active,,,To Discuss,,,481
Djt Aerospace,Unclear,,,To Discuss,,,43
Trump Chicago Hotel Manager,Active,,,To Discuss,,,"321,320"
Brynwood Gardens,Active,,,To Discuss,,,800
First Eagle Investment Management,Active,,,To Discuss,,,999
Citi Group,Active,,,To Discuss,,,833
KB ASTORIA,Unclear,,,To Discuss,,,
C-III Recovery Fund I,Resolved,,"*This may be another example of an entity getting a friendly name assigned and later on finding it's parent in another entity structure in the disclosure and the parent ends up being the friendly name. Either way, in this example, both entities are listed as Resolved in the Ethics Doc Lines for Jared.",To Discuss,,,804
Wake Cnty Nc Bonds,Unclear,,,To Discuss,,,unnamed record
Development Corporation for Israel,Resolved,,,To Discuss,,,"872,873"
Trump Marks Menswear,Active,,,To Discuss,,,"426,425"
The New York Observer,Unclear,,,To Discuss,,https://www.nytimes.com/2018/07/26/business/ken-kurson-jared-kushner.html,
Trump Acquisition,Active,,,To Discuss,,,"304,303"
Hennessy Funds,Resolved,,,To Discuss,,,1040
Dt Dubai Golf Manager,Active,,,To Discuss,,"https://www.damacproperties.com/en/media-centre/press-releases/damac-awards-infrastructure-works-contract-at-akoya-oxygen-to-cscec-as-construction-spend,http://www.mcclatchydc.com/news/politics-government/white-house/article172443417.html,http://www.constructionweekonline.com/article-49557-cscec-lands-19m-damac-contract-for-dubais-akoya-oxygen/,https://www.washingtonpost.com/amphtml/politics/as-tariffs-near-trumps-business-empire-includes-china-ties/2018/07/05/9bfd1056-7956-11e8-aeee-4d04c8ac6158_story.html","73,72"
Dt Lido Hotel Manager,Active,,,To Discuss,,"https://mobile.reuters.com/article/amp/idUSKCN1J12RP,https://www.npr.org/2018/06/07/617310039/trump-organization-deals-in-asia-fuel-debate-on-emoluments-lawsuit,https://www.washingtonpost.com/politics/trump-business-dealings-raises-serious-concerns-ethics-office-says/2018/06/22/b71de20a-7642-11e8-9780-b1dd6a09b549_story.html?utm_term=.6784ef6af365","87,86,904"
THC DC Restaurant Hospitality,Active,,,To Discuss,,,"235,1581"
THC Vancouver,Active,,,To Discuss,,,"258,259"
Veggie Grill,Unclear,"Veggie Grill, a restaurant in Manhattan Beach, Calif. which Jared Kushner has a stake in.",,To Discuss,,https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,
New York St Thruway Auth 2Nd Gen Highway &Amp; Bridge Trust Fund Ser A,Unclear,,,To Discuss,,,1366
New York St Ser A,Unclear,,,To Discuss,,,1362
Truth About Israel,Unclear,Organized a ball at Mar-a-Lago to show support for President Trump.,,To Discuss,,https://www.washingtonpost.com/news/post-politics/wp/2018/02/26/israel-focused-charity-praises-trump-and-pays-him-at-mar-a-lago-gala/?utm_term=.59e4b7dbed4c,
Bank of America,Active,,,To Discuss,,,770
Midland Associates,Active,,,To Discuss,,,177
Trump Hotel,Active,,,To Discuss,,,359
Trump Marks Punta Del Este,Active,,,To Discuss,,,"448,447"
National Endowment for the Humanities,Unclear,,,To Discuss,,https://www.nytimes.com/2018/07/26/business/ken-kurson-jared-kushner.html,
JK THRIVE V,Resolved,,,To Discuss,,,"1119,1120"
Trump Las Vegas Sales &Amp; Marketing,Active,,"7/25/2017 added sales &amp; marketing deal per 2017 financial disclosure, Part 2, ref. #191.",To Discuss,,,382
KF- Faire Fund II,Unclear,,,To Discuss,,,1202
UTAH ST RFDG SER C,Unclear,,,To Discuss,,,unnamed record
Dt Tower Ii,Active,,,To Discuss,,"http://www.mcclatchydc.com/news/politics-government/white-house/article210477439.html,https://www.forbes.com/trump-tenants/#4fcc6c891d32","123,122"
NK 80 MAIDEN MEZZ,Unclear,,,To Discuss,,,
Gowan Associates,Active,,,To Discuss,,,"1034,668,1033,1186,unnamed record,unnamed record,unnamed record,unnamed record"
Tw Venture Ii,Active,,,To Discuss,,,"550,549"
Dt Connect,Unclear,,Marked as Unclear by HN on 8/23/18. ,To Discuss,,,"68,67"
Vegas Seven,Unclear,Vegas Seven is an online news publication in Las Vegas which Jared Kushner has a stake in.,,To Discuss,,https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,
Trump 845,Active,,,To Discuss,,,298
Trump Marks Sunny Isles I,Active,,,To Discuss,,http://www.mcclatchydc.com/news/politics-government/white-house/article210477439.html,"456,455"
U.S. Treasury Department,Unclear,,,To Discuss,,"https://nypost.com/2018/03/05/bank-reported-trump-lawyers-payment-to-stormy-daniels-as-suspicious/,https://amp.thedailybeast.com/trump-org-gifts-treasury-dollar150k-in-foreign-government-emoluments,http://www.mcclatchydc.com/news/politics-government/white-house/article210477439.html,https://www.nbcnews.com/politics/donald-trump/trump-s-d-c-hotel-clubhouse-his-fans-may-also-n898041,https://www.today.com/video/is-dc-s-trump-international-hotel-a-conflict-of-interest-for-the-president-1294601283992",
Kushner Companies,Active,,,To Discuss,,"https://www.usatoday.com/story/news/2018/06/07/cozy-land-deals-meant-big-money-trump-family-and-friends/677126002/,https://amp.businessinsider.com/charles-kushner-qatar-finance-minister-meeting-666-fifth-ave-2018-6,https://www.nytimes.com/2018/05/17/nyregion/kushner-deal-qatar-666-5th.html,https://www.oge.gov/web/oge.nsf/All%20Documents/2C62A672E2AF5BAC8525825C00518004/$FILE/Letter%20to%20Congressman%20Krishnamoorthi.pdf?open,https://www.bloomberg.com/amp/news/articles/2018-03-13/kushner-conflict-cloud-hovers-over-brooklyn-sale-linked-to-japan,https://mobile.nytimes.com/2018/03/10/business/trumps-kushners-hotel-deals.html?referer=https://amp-cnn-com.cdn.ampproject.org/c/s/amp.cnn.com/cnn/2018/03/11/politics/new-york-times-jared-kushner-donald-trump-hotel/index.html,https://www.washingtonpost.com/politics/jared-kushner-and-ivanka-trump-made-at-least-82-million-in-outside-income-last-year-while-serving-in-the-white-house-filings-show/2018/06/11/a41d0720-6dab-11e8-bd50-b80389a4e569_story.html?utm_term=.9b5baa8980b3,https://www.npr.org/2018/06/12/619101573/ivanka-trump-and-jared-kushner-earned-more-than-80-million-last-year-filings-sho,https://www.bloomberg.com/news/articles/2018-02-15/kushner-investors-said-to-be-subpoenaed-by-u-s-tax-authorities?utm_content=politics&utm_campaign=socialflow-organic&utm_source=twitter&utm_medium=social&cmpid%3D=socialflow-twitter-politics,https://www.theguardian.com/us-news/2018/feb/04/jared-kushner-property-empire-trump,http://money.cnn.com/2018/06/11/news/ivanka-trump-jared-kushner-finances/index.html,https://www.washingtonpost.com/politics/kushners-ties-to-israeli-firms-at-issue-as-he-visits-region-on-peace-mission/2018/06/21/cc3a3438-730c-11e8-9780-b1dd6a09b549_story.html?utm_term=.88424d3f7ac4,https://mobile.nytimes.com/2018/06/21/business/trumps-kushners-end-hotel-deals.html,https://www.nytimes.com/2018/07/11/business/jared-kushner-business-washington.html,https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,https://money.cnn.com/2018/08/03/news/companies/kushner-666-fifth-avenue-brookfield/index.html,https://www.bloomberg.com/amp/news/articles/2018-08-04/kushners-give-up-control-of-manhattan-tower-to-save-themselves",1221
Trump 106,Active,,,To Discuss,,,296
California St Bonds,Unclear,,,To Discuss,,,813
Hyde Park,Active,,,To Discuss,,,163
B Monmouth Mall,Resolved,,,To Discuss,,,"766,765,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record,unnamed record"
THC China Technical Services,Active,,,To Discuss,,,"234,233"
New York St Urban DEV Corp REV St Pers Income Tax Ser A1,Unclear,,,To Discuss,,,1368
