ID,pubstatus,Internal Notes,Business Interest Details,Conflict,Conflicting Entity,Family Member,Owner 1,Pct 1,Owner 2,Pct 2,Owner 3,Pct 3,Owner 4,Pct 4,Total,EntityStatus,Ethics Doc 1,Ethics Doc 2,Ethics Doc 3,2015,2016,2017,Public Notes,Conflict Status (archive)
720,to discuss,"July 27, 2018 HN: Can we give this a friendly name of the entity it's a holding company for? ","Ivanka Trump lists 4T Holdings One LLC (Holding company for future interests in Trump hotel manager entities; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income.",,"""4T Holdings One LLC (Holding Company for Future Interests In Trump Hotel Manager Entities; New York, NY)""",Ivanka Trump,,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,Active
10,,,Pres. Trump retains an ownership interest in the now-dormant or inactive 4T Holdings Two LLC. Any current or former positions he may have held with the company are not reported on his financial disclosures.,4T Holdings Two,4T Holdings Two LLC,Donald Trump,TTTT Venture LLC,100.0,,0.0,,0.0,,0.0,100,Active,https://assets.documentcloud.org/documents/2838696/Trump-2016-Financial-Disclosure.pdf,,,,checked,,,Active
721,to discuss,"July 27, 2018 HN: Can we give this a friendly name of the entity it's a holding company for? ","Ivanka Trump lists 4T Holdings Two LLC (Holding company for future interests in Scion and Szion manager entities; New York, NY) as an employment-related asset valued at (no value reported). In the year before taking her unpaid position as assistant to her father in his presidency, she earned (no income reported) in (no income type reported) income.",,"""4T Holdings Two LLC (Holding Company for Future Interests In Scion And Szion Manager Entities; New York, NY)""",Ivanka Trump,,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,Active
722,approved,,"Jared Kushner served as Vice President &amp; Secretary of 5 Thornton Road Associates, LLC from May 1, 2014, to Jan 1, 2017.",CK Bergen Associates,"""5 Thornton Road Associates, LLC""",Jared Kushner,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,CK Bergen Associates,"""5 Thornton Road Associates, LLC""",Ivanka Trump,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
664,approved,,"Jared Kushner served as Vice President &amp; Secretary of 15-00 Pollitt Drive Associates, LLC from May 1, 2014, to Jan 1, 2017.",CK Bergen Associates,"""15-00 Pollitt Drive Associates, LLC""",Jared Kushner,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,CK Bergen Associates,"""15-00 Pollitt Drive Associates, LLC""",Ivanka Trump,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
667,approved,,"Jared Kushner served as Vice President &amp; Secretary of 17-01 Pollitt Drive Associates, LLC from May 1, 2014, to Jan 1, 2017.",CK Bergen Associates,"""17-01 Pollitt Drive Associates, LLC""",Jared Kushner,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,,,,,"""17-01 Pollitt Drive Associates, LLC""",,,,,,,,,,0,,,,,,,,,
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,CK Bergen Associates,"""17-01 Pollitt Drive Associates, LLC""",Ivanka Trump,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
669,approved,,"Jared Kushner served as Managing Member of 18 Sydney Place LLC from Sep 1, 2014, to Jan 1, 2017.",KF-BLS Member,18 Sydney Place LLC,Jared Kushner,"""BLS PORTFOLIO 2 LLC (Residential Real Estate in Brooklyn, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/18/2018 ~Swanson,,KF-BLS Member,18 Sydney Place LLC,Ivanka Trump,"""BLS PORTFOLIO 2 LLC (Residential Real Estate in Brooklyn, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
672,approved,,"Jared Kushner served as Vice President &amp; Secretary of 19-00 Pollitt Drive Associates, LLC from May 1, 2014, to Jan 1, 2017.",CK Bergen Associates,"""19-00 Pollitt Drive Associates, LLC""",Jared Kushner,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,,,,,"""19-00 Pollitt Drive Associates, LLC""",,,,,,,,,,0,,,,,,,,,
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,CK Bergen Associates,"""19-00 Pollitt Drive Associates, LLC""",Ivanka Trump,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
673,approved,,"Jared Kushner served as Vice President &amp; Secretary of 19-05 Nevins Road Associates, LLC from May 1, 2014, to Jan 1, 2017.",CK Bergen Associates,"""19-05 Nevins Road Associates, LLC""",Jared Kushner,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,CK Bergen Associates,"""19-05 Nevins Road Associates, LLC""",Ivanka Trump,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
681,,This asset has been divested. 2016 and 2017 income estimated based on 2015 K-1 statement.,"Ivanka Trump received $1,001 - $2,500 in Capital Gains income from 20 de Bariloche LP (Real Estate in Argentina) the year before her appointment as her father&#39;s presidential adviser.",20 de Bariloche,20 De Bariloche LP (Real Estate In Argentina),Ivanka Trump,,,,,,,,0.0,0,Resolved,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Resolved
682,approved,,"Jared Kushner received $1,001 - $2,500 in Capital Gains income from 20 de Bariloche LP (Real Estate in Argentina) the year before his appointment as Pres. Trump's senior adviser. This asset has been divested. 2016 and 2017 income estimated based on 2015 K-1 statement.",20 de Bariloche,20 De Bariloche LP (Real Estate In Argentina),Jared Kushner,,,,,,,,0.0,0,Resolved,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Resolved
696,approved,,"Jared Kushner received $5,001 - $15,000 in Capital Gains income from 21ST CENTURY FOX the year before his appointment as Pres. Trump's senior adviser. This asset has been divested.",21st Century Fox,21st Century Fox,Jared Kushner,,,,,,,,0.0,0,Resolved,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Resolved
695,approved,This asset has been divested.,"Ivanka Trump received $5,001 - $15,000 in Capital Gains income from 21ST CENTURY FOX the year before her appointment as her father&#39;s presidential adviser.",21st Century Fox,21st Century Fox,Ivanka Trump,,,,,,,,0.0,0,Resolved,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Resolved
697,approved,,"Jared Kushner served as Key Person of 25-30 Columbia Heights (Brooklyn) Venture, LLC from May 1, 2016, to Jan 1, 2017.",WT 25 Columbia,"""25-30 Columbia Heights (Brooklyn) Venture, LLC""",Jared Kushner,"""KRL COLUMBIA HEIGHTS BROOKLYN LLC (Real Estate Under Construction in Brooklyn, NY)""",,Contingent Rights to Ownership Interests,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/18/2018 ~Swanson,,WT 25 Columbia,"""25-30 Columbia Heights (Brooklyn) Venture, LLC""",Ivanka Trump,"""KRL COLUMBIA HEIGHTS BROOKLYN LLC (Real Estate Under Construction in Brooklyn, NY)""",,Contingent Rights to Ownership Interests,,,,,,0,Active,,,,,,checked,,
,approved,Missing from Working Database 06/22/2018 -SWANSON,"Jared Kushner served as Key Person of 25-30 Columbia Heights (Brooklyn) Venture, LLC from May 1, 2016, to Jan 1, 2017.",WT 25 Columbia,"""25-30 COLUMBIA HEIGHTS (Brooklyn), LLC (Real Estate Under Construction in Brooklyn, NY)""",Jared Kushner,"""25-30 Columbia Heights (Brooklyn) Venture, LLC""",,,,,,,,0,Active,,,,,,,,
,approved,*Missing. Added on: 7/18/2018 ~Swanson,,WT 25 Columbia,"""25-30 COLUMBIA HEIGHTS (Brooklyn), LLC (Real Estate Under Construction in Brooklyn, NY)""",Ivanka Trump,"""25-30 Columbia Heights (Brooklyn) Venture, LLC""",,,,,,,,0,Active,,,,,,checked,,
,approved,Missing from Working Database 06/21/2018 -SWANSON,,K 26 Journal Square,"""26 JOURNAL MASTER TENANT LLC (Commercial Real Estate in Jersey City, NJ)""",Jared Kushner,K2W2 26JS Holdings LLC,,,,,,,,0,Active,,,,,,,,
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,K 26 Journal Square,"""26 JOURNAL MASTER TENANT LLC (Commercial Real Estate in Jersey City, NJ)""",Ivanka Trump,K2W2 26JS Holdings LLC,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,Active
,approved,Missing from Working Database 06/21/2018 -SWANSON,,K 26 Journal Square,"""26 JOURNAL SQUARE MEMBER LLC (Commercial Real Estate in Jersey City, NJ)""",Jared Kushner,K2W2 26JS Holdings LLC,,,,,,,,0,Active,,,,,,,,
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,K 26 Journal Square,"""26 JOURNAL SQUARE MEMBER LLC (Commercial Real Estate in Jersey City, NJ)""",Ivanka Trump,K2W2 26JS Holdings LLC,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,Active
,approved,Missing from Working Database 06/21/2018 -SWANSON,,K 26 Journal Square,"""26 JOURNAL SQUARE OWNER LLC (Commercial Real Estate in Jersey City, NJ)""",Jared Kushner,"""26 JOURNAL SQUARE MEMBER LLC (Commercial Real Estate in Jersey City, NJ)""",,,,,,,,0,Active,,,,,,,,
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,K 26 Journal Square,"""26 JOURNAL SQUARE OWNER LLC (Commercial Real Estate in Jersey City, NJ)""",Ivanka Trump,"""26 JOURNAL SQUARE MEMBER LLC (Commercial Real Estate in Jersey City, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,Active
699,approved,,"Jared Kushner served as Key Person of 27 Monroe Place LLC from Apr 1, 2014, to Jan 1, 2017.",KF-BLS Member,27 Monroe Place LLC,Jared Kushner,"""BLS PORTFOLIO LLC (Residential Real Estate in Brooklyn, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/17/2018 ~Swanson,,KF-BLS Member,27 Monroe Place LLC,Ivanka Trump,"""BLS PORTFOLIO LLC (Residential Real Estate in Brooklyn, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
701,approved,,"Jared Kushner received $15,001 - $50,000 in Capital Gains Rent or Royalties income from 29 Second Avenue Realty, LLC (Residential Real Estate in New York, NY) the year before his appointment as Pres. Trump&#39;s senior adviser.",KFF 29 Second Avenue,"""29 Second Avenue Realty, LLC (Residential Real Estate In New York, NY)""",Jared Kushner,"""KFF 29 Second Avenue, LLC (Residential Real Estate In New York, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
700,approved,,"Ivanka Trump received $15,001 - $50,000 in Capital Gains Rent or Royalties income from 29 Second Avenue Realty, LLC (Residential Real Estate in New York, NY) the year before her appointment as her father&#39;s presidential adviser.",KFF 29 Second Avenue,"""29 Second Avenue Realty, LLC (Residential Real Estate In New York, NY)""",Ivanka Trump,"""KFF 29 Second Avenue, LLC (Residential Real Estate In New York, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
703,approved,,"Jared Kushner received $100,001 - $1,000,000 in Rent or Royalties income from 30 FLORHAM ASSOCIATES, LLC (Commercial Real Estate in Florham Park, NJ) the year before his appointment as Pres. Trump&#39;s senior adviser.",30 Florham Associates,"""30 Florham Associates, LLC (Commercial Real Estate In Florham Park, NJ)""",Jared Kushner,,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
702,approved,,"Ivanka Trump received $100,001 - $1,000,000 in Rent or Royalties income from 30 FLORHAM ASSOCIATES, LLC (Commercial Real Estate in Florham Park, NJ) the year before her appointment as her father&#39;s presidential adviser.",30 Florham Associates,"""30 Florham Associates, LLC (Commercial Real Estate In Florham Park, NJ)""",Ivanka Trump,,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
704,approved,,"Jared Kushner served as Manager of 30 Journal Square Partners, LLC from Jan 1, 2013, to Jan 1, 2017.",K 30 Journal Square,"""30 Journal Square Partners, LLC""",Jared Kushner,"""K 30 Journal Square, LLC""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/17/2018 ~Swanson,,K 30 Journal Square,"""30 Journal Square Partners, LLC""",Ivanka Trump,"""K 30 Journal Square, LLC""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,Active
705,approved,,"Jared Kushner served as Vice President &amp; Secretary of 30 Leslie Associates, LLC from May 1, 2014, to Jan 1, 2017.",Route 10 Associates,"""30 Leslie Associates, LLC""",Jared Kushner,"""Route 10 Associates, LLC (Industrial Real Estate In Whippany, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,Route 10 Associates,"""30 Leslie Associates, LLC""",Ivanka Trump,"""Route 10 Associates, LLC (Industrial Real Estate In Whippany, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,checked,,Active
710,approved,,"Jared Kushner served as Manager of 38 Monroe Place LLC from Apr 1, 2014, to Jan 1, 2017.",KF-BLS Member,38 Monroe Place LLC,Jared Kushner,"""BLS PORTFOLIO LLC (Residential Real Estate in Brooklyn, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/17/2018 ~Swanson,,KF-BLS Member,38 Monroe Place LLC,Ivanka Trump,"""BLS PORTFOLIO LLC (Residential Real Estate in Brooklyn, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
711,approved,,"Jared Kushner served as Vice President &amp; Secretary of 40 Potash Road Associates, LLC from May 1, 2014, to Jan 1, 2017.",CK Bergen Associates,"""40 Potash Road Associates, LLC""",Jared Kushner,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,CK Bergen Associates,"""40 Potash Road Associates, LLC""",Ivanka Trump,"""CK Bergen Associates, LLC (Industrial Real Estate in Fairlawn & Oakland, NJ)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
5,approved,,"Pres. Trump resigned as a member and president of 40 Wall Development Associates LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",40 Wall Street,40 Wall Development Associates LLC,Donald Trump,"""PARC Consulting, Inc.""",0.1,The Donald J. Trump Revocable Trust,99.9,,0.0,,0.0,100,Active,https://assets.documentcloud.org/documents/2838696/Trump-2016-Financial-Disclosure.pdf,,,,checked,,,Active
6,approved,,"Pres. Trump resigned as president of 40 Wall Street Commercial LLC, but retains an ownership interest.",40 Wall Street,40 Wall Street Commercial LLC,Donald Trump,40 Wall Development Associates LLC,100.0,,0.0,,0.0,,0.0,100,Active,https://assets.documentcloud.org/documents/2838696/Trump-2016-Financial-Disclosure.pdf,,,,checked,,,Active
712,,,"Ivanka Trump served as Vice President of 40 WALL STREET COMMERCIAL LLC (payroll company) from Aug 1, 2009, until Jan 1, 2017.",,40 Wall Street Commercial LLC (Payroll Company),Ivanka Trump,,,,,,,,0.0,0,Resolved,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,,checked,,Resolved
7,approved,,"Pres. Trump resigned his position from 40 Wall Street LLC, but retains an ownership interest.",40 Wall Street,40 Wall Street LLC,Donald Trump,40 Wall Street Member Corp,0.1,40 Wall Development Associates LLC,99.9,,0.0,,0.0,100,Active,https://assets.documentcloud.org/documents/2838696/Trump-2016-Financial-Disclosure.pdf,,,,checked,,,Active
8,approved,,"Pres. Trump resigned his position from 40 Wall Street Member Corp., but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",40 Wall Street,40 Wall Street Member Corp,Donald Trump,40 Wall Development Associates LLC,100.0,,0.0,,0.0,,0.0,100,Active,https://assets.documentcloud.org/documents/2838696/Trump-2016-Financial-Disclosure.pdf,,,,checked,,,Active
717,approved,Thrive (Jared's brother's VC firm) is an investor. Google it for deets and see https://therealdeal.com/issues_articles/welcome-to-real-estates-tech-graveyard/ for one clip of biz news.,"Jared Kushner served as Board Member of 42Floors (Real Estate Company) from May 1, 2012, to Jan 1, 2017. Kushner was involved with the company, which offers a commercial real estate listings database, with his brother Joshua Kushner, of the venture capital firm Thrive.",42Floors,42Floors (Real Estate Company),Jared Kushner,,,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Active
719,approved,,"Jared Kushner served as Manager of 44th Street Realty Associates, LLC (Residential Real Estate in New York, NY) from Dec 1, 2007, to Jan 1, 2017.",44th Street Realty,"""44Th Street Realty Associates, LLC (Residential Real Estate In New York, NY)""",Jared Kushner,,,,,,,,0.0,0,Resolved,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,"Missing from Working Database 06/20/2018 -SWANSON

",,Puck Residential Associates,"""50 NORTH ONE LLC (Residential Real Estate in Brooklyn, NY)""",Jared Kushner,"""BROOKLYN KF NORTH 1 ASSOCIATES, LLC (Residential Real Estate in Brooklyn, NY)""",,Contingent Rights to Ownership Interests,,,,,,0,Active,,,,,,,,
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,Puck Residential Associates,"""50 NORTH ONE LLC (Residential Real Estate in Brooklyn, NY)""",Ivanka Trump,"""BROOKLYN KF NORTH 1 ASSOCIATES, LLC (Residential Real Estate in Brooklyn, NY)""",,Contingent Rights to Ownership Interests,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
725,approved,,"Jared Kushner served as President &amp; Vice-President of 54 Barrow Street Associates LLC from Dec 1, 2015, to Jan 1, 2017.",K Gaia Village 1 Associates,54 Barrow Street Associates LLC,Jared Kushner,"""VILLAGE JV SPE LLC (Residential Real Estate in New York, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,,,,,checked,,Resolved
,approved,*Missing. Added on: 7/16/2018 ~Swanson,,K Gaia Village 1 Associates,54 Barrow Street Associates LLC,Ivanka Trump,"""VILLAGE JV SPE LLC (Residential Real Estate in New York, NY)""",,,,,,,0.0,0,Active,https://www.documentcloud.org/documents/4053459-OGE-Kushner-20170720.html,https://www.documentcloud.org/documents/4053458-OGE-Ivanka-20170720.html,,,,checked,,Active
