Id,Description,FamilyMember,ConflictingEntity,Source1,Date1,Source2,Date2,Source3,Date3,Category,Notes,DateAddedOrEdited
22,"Pres. Trump resigned his position from Ace Entertainment Holdings Inc. (F/K/A Trump Casinos, F/K/A Inc. Trump Taj Mahal, Inc.), which is reportedly dormant or inactive. However, he retains an ownership interest. ",Donald Trump,"Ace Entertainment Holdings Inc. (F/K/A Trump Casinos, F/K/A Inc. Trump Taj Mahal, Inc.)",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
23,Pres. Trump retains an ownership interest in the now-dormant or inactive All County Building Supply & Maintenance Corp. Any current or former positions with the company have not been reported in his financial disclosures. ,Donald Trump,All County Building Supply & Maintenance Corp.,Office of Government Ethics,18-May-16,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
24,"Pres. Trump resigned his position from Aviation Payroll Company, in which he retains an ownership interest. The company reportedly has no independent value or income, and provides back office support functions to other entities. ",Donald Trump,Aviation Payroll Company,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
25,"Pres. Trump resigned his position from B Plaza Realty Corp., which reportedly was dissolved on Nov. 10, 2016. ",Donald Trump,B Plaza Realty Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
26,Bahrain to hold major event at Trump’s D.C. hotel,Donald Trump,Bahrain,Huffington Post,29-Nov-16,,,,,active,,5-Jul-17
27,"Part owner, with unnamed family members, of the dormant or inactive company Beach Haven Apartments #3 LLC.",Donald Trump,Beach Haven Apartments #3 LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
28,"Part owner, with unnamed family members, of Beach Haven Apt#1. Inc. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,Beach Haven Apt#1. Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
29,"Part owner, with unnamed family members, of the now dormant or inactive company Beach Haven Shopping Center LLC.",Donald Trump,Beach Haven Shopping Center LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
30,"Pres. Trump resigned as director and president/treasurer/secretary of Bedford Hills Corp., but he retains an ownership interest. ",Donald Trump,Bedford Hills Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
31,Pres. Trump resigned as a member of the now dormant or inactive Briar Hall Operations LLC. He retains an ownership interest. ,Donald Trump,Briar Hall Operations LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
32,"Pres. Trump resigned as director and president/treasurer/secretary of Briarcliff Properties, Inc. The company reportedly has no independent value or income, and is part of other entity structures. Trump retains an ownership interest.",Donald Trump,"Briarcliff Properties, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
33,"Former president/member of the now-dormant or inactive C Development Ventures LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,C Development Ventures LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
34,"Former president/director/chairman of the now-dormant or nactive C Development Ventures Member Corp., in which Pres. Trump retains an ownership interest.",Donald Trump,C Development Ventures Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
35,"Pres. Trump retains an ownership interest in Caribusiness Investments, S.R.L. Any position with the company that he may hold or may have held in the past has not been disclosed. ",Donald Trump,"Caribusiness Investments, S.R.L.",Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,Office of Government Ethics,15-Jul-15,active,,5-Jul-17
36,"Former member of Caribusiness MRE LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,Caribusiness MRE LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
37,Former member of the now dormant or inactive Chelsea Hall LLC. Pres. Trump retains an ownership interest. ,Donald Trump,Chelsea Hall LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
38,"Former member/president of Chicago Unit Acquisition LLC, in which Pres. Trump retains an owernship interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,Chicago Unit Acquisition LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
39,"Former member/president of the now-dormant or inactive China Trademark LLC, in which Pres. Trump retains an owernship interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,China Trademark LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
40,"Part-owner, with unnamed family members, of the now-dormant or inactive Clyde Hall, Inc. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Clyde Hall, Inc.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
41,Former director/vice-president of the now-dormant or inactive Coronet Hall Inc. ,Donald Trump,Coronet Hall Inc. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
42,"Part-owner, with unnamed family members, of Country Apartments, LLC. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Country Apartments, LLC ",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
43,"Part-owner, with unnamed family members, of the now-dormant or inactive Country Investors LLC. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,Country Investors LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
44,"Part-owner, with unnamed family members, of Country Properties, LLC. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Country Properties, LLC",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
45,"Former member/presdient of D B Pace Acquisition Member Corp., in which Pres. Trump retains an ownership interest.",Donald Trump,D B Pace Acquisition Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
46,"Former member/presdient of D B Pace Acquisition, LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,"D B Pace Acquisition, LLC.",Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
47,"Former president/secretary and director of Development Member Inc., in which Pres. Trump retains an ownership interest.",Donald Trump,Development Member Inc.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
48,"Former president/director of the now-dormant or inactive DJ Aerospace (Bermuda) Limited, of which Trump has retained an ownership stake through The Donald J. Trump Revocable Trust. ",Donald Trump,DJ Aerospace (Bermuda) Limited,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
49,"Former member/president of DJT Aerospace LLC, of which Trump retains an ownership stake through The Donald J. Trump Revocable Trust. According to a financial disclosure, the sole assets are aircraft.",Donald Trump,DJT Aerospace LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
50,"Former member & president of DJT Entrepreneur Managing Member LLC (f/k/a DJT University Managing Member LLC). Trump retained an ownership stake in this company through The Donald J. Trump Revocable Trust. The company also holds an ownership stake in The Trump Entrepreneur Initiative LLC. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,DJT Entrepreneur Managing Member LLC (f/k/a DJT University Managing Member LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
51,"Former member & president of DJT Entrepreneur Member LLC (f/k/a DJT University Member LLC). Trump retained an ownership stake in this company through The Donald J. Trump Revocable Trust. The company also holds an ownership stake in The Trump Entrepreneur Initiative LLC. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,DJT Entrepreneur Member LLC (f/k/a DJT University Member LLC),Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
52,"Former member & president of DJT Holdings LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,DJT Holdings LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
53,"Former member & president of DJT Holdings Managing Member LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,DJT Holdings Managing Member LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
54,"Former president & director of the now-dormant or inactive DJT Land Holdings Member Corp., of which Pres. Trump retains an ownership interest. ",Donald Trump,DJT Land Holdings Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
55,"Former member/president of DJT Operations CX LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal. ",Donald Trump,DJT Operations CX LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
56,"Former member/president of DJT Operations I LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,DJT Operations I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
57,"Former member/president of DJT Operations II LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,DJT Operations II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
58,The now-dormant or inactive Donald J Trump Enterprises II LLC is wholly owned by unnamed Trump family members. Any position with the company that he may hold or may have held in the past has not been disclosed.,Donald Trump,Donald J Trump Enterprises II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
59,The now-inactive Donald J Trump Enterprises III LLC is wholly owned by unnamed Trump family members. Any position with the company that he may hold or may have held in the past has not been disclosed.,Donald Trump,Donald J Trump Enterprises III LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
60,The now-inactive Donald J Trump Enterprises LLC is wholly owned by unnamed Trump family members. Any position with the company that he may hold or may have held in the past has not been disclosed.,Donald Trump,Donald J Trump Enterprises LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
61,"Former member/presdient and owner of DSN Licensing LLC (F/K/A Trump Marks Network LLC), which reportedly was dissolved on Nov. 9, 2016.",Donald Trump,DSN Licensing LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
62,"Former director/chairman, president and owner of DSN Licensing Member Corp. (F/K/A Trump Marks Network Member Inc.), which reportedly was dissolved on Nov. 9, 2016.",Donald Trump,DSN Licensing Member Corp. (F/K/A Trump Marks Network Member Inc.),Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
63,"Former member/president and owner of the now-dormant or inactive DT App Warrant Holding LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,DT App Warrant Holding LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
64,"Former director/chairman/president and owner of the now-dormant or inactive DT App Warrant Holding Managing Member Corp., in which Pres. Trump retains an ownership interest. ",Donald Trump,DT App Warrant Holding Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
65,"Former president of DT Bali Golf Manager LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Bali Golf Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
66,"Former director/chairman/president of DT Bali Golf Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Bali Golf Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
67,"Former president of DT Bali Hotel Manager LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Bali Hotel Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
68,"Former director/chairman/president of DT Bali Hotel Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Bali Hotel Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
69,"Former member/president of DT Bali Technical Services Manager LLC, in which Pres. Trump retains an ownership interest. ",Donald Trump,DT Bali Technical Services Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
70,"Former director/chairman/president of DT Bali Technical Services Manager Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Bali Technical Services Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
71,"Former director of DT Connect Europe Limited, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Connect Europe Limited,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
72,Former member/president of DT Connect II LLC. The company's sole underlying assets are reported as aircraft. Trump retains ownership through The Donald J. Trump Revocable Trust.,Donald Trump,DT Connect II LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
73,"Former director/chairman/president of DT Connect II Member Corp. Trump retains ownership through The Donald J. Trump Revocable Trust. The company reportedly has no independent value or income, and is part of other entity structures. ",Donald Trump,DT Connect II Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
74,"Former member/president of DT Connect LLC. As of Trump's 2016 financial disclosure, he held an ownership interest; the company's ownership structure was not reported in 2017. ",Donald Trump,DT Connect LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
75,"Former director/chairman/president of DT Connect Managing Member Corp. As of Trump's 2016 financial disclosure, he held an ownership interest; the company's ownership structure was not reported in 2017. ",Donald Trump,DT Connect Managing Member Corp. ,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
76,"Former member/president of DT Dubai Golf Manager LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Dubai Golf Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
77,"Former director/chairman/president of DT Dubai Golf Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of the other entity structures. ",Donald Trump,DT Dubai Golf Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
78,"Former member/president of DT Dubai II Golf Manager LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Dubai II Golf Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
79,"Former director/chairman/president of DT Dubai II Golf Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of the other entity structures. ",Donald Trump,DT Dubai II Golf Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
80,"Former president of DT Endeavor I LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,DT Endeavor I LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
81,"Former director/chairman/president of the now-dormant or inactive DT Endeavor I Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Endeavor I Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
82,"Former member/president of DT Home Marks International LLC, of which Pres. Trump retains an ownership interest. ",Donald Trump,DT Home Marks International LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
83,"Former director/chairman/president of DT Home Marks International Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Home Marks International Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
84,"Former member/president of the now-dormant or inactive DT India Venture LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT India Venture LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
85,"Former director/chairman/president of the now-dormant or inactive DT India Venture Managing Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT India Venture Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
86,"Former member/president of DT Jeddah Technical Services Advisor LLC. As of Trump's 2016 financial disclosure, he held an ownership interest; the company's ownership structure was not reported in 2017. ",Donald Trump,DT Jeddah Technical Services Advisor LLC,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
87,"Former director/chairman/president of DT Jeddah Technical Services Advisor Member Corp. As of Trump's 2016 financial disclosure, he held an ownership interest; the company's ownership structure was not reported in 2017. ",Donald Trump,DT Jeddah Technical Services Advisor Member Corp.,Office of Government Ethics,14-Jun-17,Office of Government Ethics,18-May-16,,,potential,,5-Jul-17
88,"Former member/president of DT Jeddah Technical Services Manager LLC, which reportedly was dissolved on Nov. 15, 2016. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Jeddah Technical Services Manager LLC,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
89,"Former director/chairman/president of DT Jeddah Technical Services Manager Member Corp., which was dissolved on Nov. 15, 2016. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Jeddah Technical Services Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,resolved,,5-Jul-17
90,"Former president of DT Lido Golf Manager LLC, of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Lido Golf Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
91,"Former director/chairman/president of DT Lido Golf Manager Member Corp., of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Lido Golf Manager Member Corp/,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
92,"Former president of DT Lido Hotel Manager LLC, of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Lido Hotel Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
93,"Former director/chairman/president of DT Lido Hotel Manager Member Corp., of which Pres. Trump retains an ownership stake. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Lido Hotel Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
94,"Former member/president of DT Lido Technical Services Manager LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Lido Technical Services Manager LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
95,"Former director/chairman/president of DT Lido Technical Services Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,DT Lido Technical Services Manager Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
96,"Former member/president of the now-dormant or inactive DT Marks Baku LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Baku LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
97,"Former director/chairman/president of DT Marks Baku Managing Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,DT Marks Baku Managing Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
98,"Former member/president of DT Marks Bali LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Bali LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
99,"Former director/chairman/president of DT Marks Bali Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Bali Member Corp,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
100,"Former member/president of DT Marks Dubai II LLC. As of Trump's 2016 financial disclosure, the company was owned by Donald J. Trump, but was dormant or inactive. Neither its current status nor its current ownership structure were reported in 2017.",Donald Trump,DT Marks Dubai II LLC,Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
101,"Former director/chairman/president of DT Marks Dubai II Member Corp. The company's current ownership structure is unclear. As of Trump's 2016 financial disclosure, the company was owned by Donald J. Trump, but was dormant or inactive. Neither its current status nor its current ownership structure were reported in 2017.",Donald Trump,DT Marks Dubai II Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,potential,,5-Jul-17
102,"Former member/president of DT Marks Dubai LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Dubai LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
103,"Former director/chairman/president of DT Marks Dubai Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Dubai Member Corp. ,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
104,"Former member/president of DT Marks Gurgaon LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Gurgaon LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
105,"Former director/chairman/president of DT Marks Gurgaon Managing Member Corp. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Gurgaon Managing Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
106,"Former member/president of DT Marks Jersey City LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Jersey City LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
107,"Former member/president of DT Marks Jupiter LLC. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or that otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Jupiter LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
108,"Former member/president of DT Marks Lido LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Lido LLC,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
109,"Former director/chairman/president of DT Marks Lido Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,DT Marks Lido Member Corp.,Office of Government Ethics,14-Jun-17,,,,,active,,5-Jul-17
