fiscalYear,fiscalYearType,appropriationType,account,agency,operatingUnit,category,sector,amount
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Nigeria,Peace and Security,Counter-Narcotics,835000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Pakistan,Peace and Security,Combating Weapons of Mass Destruction (WMD),4890000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Pakistan,Peace and Security,Counter-Narcotics,38722000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Pakistan,Peace and Security,Counterterrorism,502780000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Panama,Peace and Security,Counter-Narcotics,7987000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Paraguay,Peace and Security,Counter-Narcotics,384000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Peru,Peace and Security,Counter-Narcotics,8892000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Philippines,Peace and Security,Counter-Narcotics,2410000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Romania,Peace and Security,Counter-Narcotics,712000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Russia,Peace and Security,Combating Weapons of Mass Destruction (WMD),120010000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Sao Tome and Principe,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Senegal,Peace and Security,Counter-Narcotics,2942000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Sierra Leone,Peace and Security,Counter-Narcotics,1226000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,South Africa,Peace and Security,Combating Weapons of Mass Destruction (WMD),2040000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,South Africa,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Suriname,Peace and Security,Counter-Narcotics,384000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Tajikistan,Peace and Security,Counter-Narcotics,7069000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Tanzania,Peace and Security,Combating Weapons of Mass Destruction (WMD),1020000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Thailand,Peace and Security,Counter-Narcotics,1546000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,The Bahamas,Peace and Security,Counter-Narcotics,4661000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,The Gambia,Peace and Security,Counter-Narcotics,245000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Togo,Peace and Security,Counter-Narcotics,82000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Trinidad and Tobago,Peace and Security,Counter-Narcotics,130000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Turkey,Peace and Security,Counter-Narcotics,853000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Turkmenistan,Peace and Security,Counter-Narcotics,2260000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,U.S. Department of Defense - World-Wide,Peace and Security,Combating Weapons of Mass Destruction (WMD),52310000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Uganda,Peace and Security,Combating Weapons of Mass Destruction (WMD),5750000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Ukraine,Peace and Security,Combating Weapons of Mass Destruction (WMD),72080000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Ukraine,Peace and Security,Counter-Narcotics,254000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Uruguay,Peace and Security,Counter-Narcotics,110000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Uzbekistan,Peace and Security,Combating Weapons of Mass Destruction (WMD),8590000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Uzbekistan,Peace and Security,Counter-Narcotics,4933000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Venezuela,Peace and Security,Counter-Narcotics,330000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Vietnam,Peace and Security,Counter-Narcotics,988000
2011,FY 2011 Actual Base,Base,N/A,Department of Defense,Yemen,Peace and Security,Stabilization Operations and Security Sector Reform,47026000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Afghanistan,Economic Development,Infrastructure,400000000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Afghanistan,Peace and Security,Combating Weapons of Mass Destruction (WMD),1200000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Afghanistan,Peace and Security,Counter-Narcotics,314552000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Afghanistan,Peace and Security,Stabilization Operations and Security Sector Reform,400000000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Argentina,Peace and Security,Counter-Narcotics,57000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Armenia,Peace and Security,Combating Weapons of Mass Destruction (WMD),17440000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Azerbaijan,Peace and Security,Combating Weapons of Mass Destruction (WMD),20480000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Azerbaijan,Peace and Security,Counter-Narcotics,294000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Bangladesh,Peace and Security,Counter-Narcotics,336000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Barbadas,Peace and Security,Counter-Narcotics,841000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Belize,Peace and Security,Counter-Narcotics,5267000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Benin,Peace and Security,Counter-Narcotics,285000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Bolivia,Peace and Security,Counter-Narcotics,2000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Brazil,Peace and Security,Counter-Narcotics,557000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Bulgaria,Peace and Security,Counter-Narcotics,1758000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Cambodia,Peace and Security,Combating Weapons of Mass Destruction (WMD),5100000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Cambodia,Peace and Security,Counter-Narcotics,1189000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Cameroon,Peace and Security,Counter-Narcotics,639000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Cape Verde,Peace and Security,Counter-Narcotics,1014000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Colombia,Peace and Security,Counter-Narcotics,58722000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Costa Rica,Peace and Security,Counter-Narcotics,3428000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Dominican Republic,Peace and Security,Counter-Narcotics,4596000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Ecuador,Peace and Security,Counter-Narcotics,3982000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,El Salvador,Peace and Security,Counter-Narcotics,7620000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Georgia,Peace and Security,Combating Weapons of Mass Destruction (WMD),63760000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Ghana,Peace and Security,Counter-Narcotics,1708000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Guatemala,Peace and Security,Counter-Narcotics,11909000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Guyana,Peace and Security,Counter-Narcotics,195000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Honduras,Peace and Security,Counter-Narcotics,8236000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Indonesia,Peace and Security,Counter-Narcotics,1378000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Jamaica,Peace and Security,Counter-Narcotics,298000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Kazakhstan,Peace and Security,Combating Weapons of Mass Destruction (WMD),84210000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Kazakhstan,Peace and Security,Counter-Narcotics,10611000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Kenya,Peace and Security,Counter-Narcotics,1179000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Kosovo,Peace and Security,Counter-Narcotics,14000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Kyrgyz Republic,Peace and Security,Counter-Narcotics,26491000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Laos,Peace and Security,Combating Weapons of Mass Destruction (WMD),70000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Lebanon,Peace and Security,Counter-Narcotics,6484000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Liberia,Peace and Security,Counter-Narcotics,1296000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Maldives,Peace and Security,Counter-Narcotics,345000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Mauritania,Peace and Security,Counter-Narcotics,688000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Mexico,Peace and Security,Counter-Narcotics,83464000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Moldova,Peace and Security,Combating Weapons of Mass Destruction (WMD),13690000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Montenegro,Peace and Security,Counter-Narcotics,11000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Mozambique,Peace and Security,Counter-Narcotics,102000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Nicaragua,Peace and Security,Counter-Narcotics,5430000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Nigeria,Peace and Security,Counter-Narcotics,3022000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Pakistan,Peace and Security,Combating Weapons of Mass Destruction (WMD),1730000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Pakistan,Peace and Security,Counter-Narcotics,629000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Panama,Peace and Security,Counter-Narcotics,4166000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Paraguay,Peace and Security,Counter-Narcotics,260000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Peru,Peace and Security,Counter-Narcotics,4272000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Philippines,Peace and Security,Counter-Narcotics,2419000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Romania,Peace and Security,Counter-Narcotics,50000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Russia,Peace and Security,Combating Weapons of Mass Destruction (WMD),101850000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Senegal,Peace and Security,Counter-Narcotics,1236000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,South Africa,Peace and Security,Combating Weapons of Mass Destruction (WMD),490000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,South Africa,Peace and Security,Counter-Narcotics,204000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Suriname,Peace and Security,Counter-Narcotics,172000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Tajikistan,Peace and Security,Counter-Narcotics,24285000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Tanzania,Peace and Security,Combating Weapons of Mass Destruction (WMD),1590000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Tanzania,Peace and Security,Counter-Narcotics,615000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Thailand,Peace and Security,Counter-Narcotics,1112000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,The Bahamas,Peace and Security,Counter-Narcotics,343000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Togo,Peace and Security,Counter-Narcotics,640000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Trinidad and Tobago,Peace and Security,Counter-Narcotics,294000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Turkey,Peace and Security,Counter-Narcotics,608000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,U.S. Department of Defense - World-Wide,Peace and Security,Combating Weapons of Mass Destruction (WMD),103830000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Uganda,Peace and Security,Combating Weapons of Mass Destruction (WMD),730000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Ukraine,Peace and Security,Combating Weapons of Mass Destruction (WMD),57220000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Ukraine,Peace and Security,Counter-Narcotics,34000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Uruguay,Peace and Security,Counter-Narcotics,79000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Uzbekistan,Peace and Security,Combating Weapons of Mass Destruction (WMD),10740000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Uzbekistan,Peace and Security,Counter-Narcotics,16910000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Vietnam,Peace and Security,Combating Weapons of Mass Destruction (WMD),90000
2012,FY 2012 Actual Base,Base,N/A,Department of Defense,Vietnam,Peace and Security,Counter-Narcotics,391000
2012,FY 2012 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Afghanistan,Peace and Security,Counterterrorism,23000000
2012,FY 2012 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Iraq,Peace and Security,Counterterrorism,5000000
2012,FY 2012 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Kenya,Peace and Security,Counterterrorism,7750000
2012,FY 2012 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Office of the Coordinator for Counterterrorism (DOS),Peace and Security,Counterterrorism,62407000
2012,FY 2012 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Pakistan,Peace and Security,Counterterrorism,20000000
2012,FY 2012 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Yemen,Peace and Security,Counterterrorism,2500000
2013,FY 2013 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Afghanistan,Peace and Security,Counterterrorism,20912000
2013,FY 2013 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Iraq,Peace and Security,Counterterrorism,6411000
2013,FY 2013 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Kenya,Peace and Security,Counterterrorism,5360000
2013,FY 2013 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Office of the Coordinator for Counterterrorism (DOS),Peace and Security,Counterterrorism,60980000
2013,FY 2013 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Pakistan,Peace and Security,Counterterrorism,9497000
2013,FY 2013 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Somalia,Peace and Security,Counterterrorism,2000000
2013,FY 2013 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Unallocated Earmarks,Peace and Security,Counterterrorism,4143000
2013,FY 2013 Foreign Military Financing Base - OCO,Base,Antiterrorism Assistance - OCO,USAID and Department of State,Yemen,Peace and Security,Counterterrorism,3199000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,"Democracy, Human Rights, and Governance",Civil Society,2952000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,"Democracy, Human Rights, and Governance",Good Governance,1400000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,900000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,3243000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Economic Development,Agriculture,1900000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Economic Development,Financial Sector,1371000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Economic Development,Infrastructure,800000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Economic Development,Private Sector Competitiveness,4539000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Health,Family Planning and Reproductive Health,350000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Health,HIV/AIDS,100000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Health,Maternal and Child Health,1050000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Health,Other Public Health Threats,900000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Health,Tuberculosis,100000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Peace and Security,Stabilization Operations and Security Sector Reform,3515000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Albania,Peace and Security,Transnational Crime,1630000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,"Democracy, Human Rights, and Governance",Civil Society,8343000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,"Democracy, Human Rights, and Governance",Good Governance,5042000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,4006000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,610000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Economic Development,Agriculture,6346000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Economic Development,Economic Opportunity,73000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Economic Development,Financial Sector,3014000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Economic Development,Infrastructure,4919000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Economic Development,Macroeconomic Foundation for Growth,4200000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Economic Development,Private Sector Competitiveness,4942000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Economic Development,Trade and Investment,1944000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Education and Social Services,Basic Education,200000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Education and Social Services,Higher Education,424000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Education and Social Services,Social Assistance,986000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Education and Social Services,"Social Policies, Regulations, and Systems",2041000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Education and Social Services,Social Services,1036000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Environment,Environment,334000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Health,Family Planning and Reproductive Health,4173000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Health,HIV/AIDS,105000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Health,Maternal and Child Health,3494000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Health,Pandemic Influenza and Other Emerging Threats,1124000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Health,Tuberculosis,163000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Health,Water Supply and Sanitation,2605000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Humanitarian Assistance,"Protection, Assistance and Solutions",1600000
2006,FY 2006 Actual Base,Base,"Assistance for Europe, Eurasia and Central Asia",USAID and Department of State,Armenia,Peace and Security,Combating Weapons of Mass Destruction (WMD),3651000
