description,familyMember,conflictingEntity,category,notes,dateChanged
"Pres. Trump earns royalty income from the book Crippled America, published 2015 by Threshold Editions.",Donald Trump,"Crippled America",Active, "",07/25/2017
"Former member/president of DT Bali Technical Services Manager LLC, in which Pres. Trump retains an ownership interest. The company holds a management deal with PT Bali Nirwana Resort.",Donald Trump,"Dt Bali Technical Services Manager LLC",Active, "7/25/2017 added management deal per 2017 financial disclosure, Part 2, ref. #181.",07/25/2017
"Former member/president of DT Dubai II Golf Manager LLC, of which Pres. Trump retains an ownership interest. The company holds a management deal with Frontline Investment Management Co. LLC (an affiliate of DAMAC).",Donald Trump,"Dt Dubai Ii Golf Manager LLC",Active, "7/25/2017 added management deal details per 2017 financial disclosure, Part 2, ref. #173.",07/25/2017
"Former member/president of DT Home Marks International LLC, of which Pres. Trump retains an ownership interest. The company holds a license deal with RNA Resources Group Ltd., Dorya International LLC, Homestudio International SA, Wonu Co. Ltd.",Donald Trump,"Dt Home Marks International LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #021.",07/25/2017
"Former member/president of DT Lido Technical Services Manager LLC, of which Pres. Trump retains an ownership interest. The company holds a management deal with PT LIdo Nirwana Parahyangan.",Donald Trump,"Dt Lido Technical Services Manager LLC",Active, "7/25/2017 added management deal per 2017 financial disclosure, Part 2, ref. #184.",07/25/2017
"Former partner/president of DT Marks Vancouver LP, of which Pres. Trump retains an ownership interest. The company holds a license deal with West Georgia Development Limited Partnership and West Georgia Holdings Inc.",Donald Trump,"Dt Marks VAncouver Lp",Active, "7/25/2017 added license deal per 2017 financial disclosure, Part 2, ref. #193.",07/25/2017
"Former member/president of DT Marks Worli LLC, of which Pres. Trump retains an ownership interest. The company&#39;s licensees are listed as Jawala Real Estate Private Ltd. and Lodha Developers Private Ltd.",Donald Trump,"Dt Marks Worli LLC",Active, "7/25/2017 added licensee details per 2017 financial disclosure, Part 2, ref. #127.",07/25/2017
"Former member/president of DT Tower Gurgaon LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income. It holds a license deal with IREO Private Ltd.",Donald Trump,"Dt Tower Gurgaon LLC",Active, "7/25/2017 added licensee details per 2017 financial disclosure, Part 2, ref. #174.",07/25/2017
"Former member/president of DT Tower Kolkata LLC, in which Pres. Trump retains an ownership interest. The company holds a license deal with: Concast Infrastructure Private Limited, Tribeca Creators LLP, Regent Hirise Private Limited, Raj Construction Projects Private Limited, RDB Realty &amp; Infrastructure Limited.",Donald Trump,"Dt Tower Kolkata LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #192.",07/25/2017
"Former president of DT Venture II LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt Venture Ii LLC (F/K/A Ritz Carlton Hotel At 112 Central Park South)",Active, "7/25/2017 added &quot;(F/K/A Ritz Carlton Hotel at 112 Central Park South)&quot; to entity name, per 2017 financial disclosure, Part 2, ref. #145.",07/25/2017
"Pres. Trump earns royalty income from the book How to Get Rich, published 2004 by Random House.",Donald Trump,"How To Get Rich",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book Never Give Up, published 2008 by John Wiley &amp; Sons, Inc.",Donald Trump,"Never Give Up",Active, "",07/25/2017
"Pres. Trump earns a pension from the Screen Actors Guild. His income from the pension was $84,292 as listed on his 2017 financial disclosure.",Donald Trump,"Screen Actors Guild",Active, "",07/25/2017
"Pres. Trump holds a 4 percent limited partnership interest in the commercial real estate firm Spring Creek Plaza through several entities, including the The Donald J. Trump Revocable Trust.",Donald Trump,"Spring Creek Plaza",Active, "",07/25/2017
"Former president/director of Tag Air, Inc., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and provides back office support functions to other entitites. It was set up to lease a 757 from DJT Operations I LLC.",Donald Trump,"Tag Air, Inc.",Active, "7/25/2017 added reference to leasing a 757 from DJT Operations I LLC, per 2017 financial disclosure, Part 2, ref. #176.",07/25/2017
"Pres. Trump earns royalty income from the book The America We Deserve, published 2000 by Renaissance Books.",Donald Trump,"The America We Deserve",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book The Art of the Comeback, published 1997 by Random House.",Donald Trump,"The Art Of The Comeback",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book The Art of the Deal, published 1987 by Random House.",Donald Trump,"The Art Of The Deal",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book The Best Real Estate Advice I Ever Received, published 2005 by Thomas Nelson, Inc.",Donald Trump,"The Best Real Estate Advice I Ever Received",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book The Way to the Top, published 2004 by Bill Adler Books.",Donald Trump,"The Way To The Top",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book Think Big and Kick Ass, published 2007 by HarperCollins Publishers.",Donald Trump,"Think Big And Kick Ass",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book Think Like a Billionaire, published 2004 by Random House.",Donald Trump,"Think Like A Billionaire",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book Think Like a Champion, published 2009 by Vanguard Press, a member of Perseus Books LLC.",Donald Trump,"Think Like A Champion",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book Time To Get Tough, published 2011 by Regnery Publishing.",Donald Trump,"Time To Get Tough",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book Trump 101: The Way to Success, published 2007 by John Wiley &amp; Sons, Inc.",Donald Trump,"Trump 101: The Way To Success",Active, "",07/25/2017
"Former president/member of Trump Carousel LLC, in which Pres. Trump retains ownership interests. The company holds an operating agreement with the New York City Department of Parks &amp; Recreation.",Donald Trump,"Trump Carousel LLC",Active, "7/25/2017 added operating agreement per 2017 financial disclosure, Part 2.",07/25/2017
"Former president/member of Trump Ferry Point LLC, in which Pres. Trump retains ownership interests. The company holds an operating agreement with the New York City Department of Parks &amp; Recreation.",Donald Trump,"Trump Ferry Point LLC (D/B/A Trump Golf Links Ferry Point [Delaware], Trump Golf Links Ferry Point [New York], Trump Golf Links [New York])",Active, "7/25/2017 added operating agreement per 2017 financial disclosure, Part 2.",07/25/2017
"Former member/president of Trump Home Marks LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with Downlite International Inc., Gourmet Home Products LLC, Northpoint Trading LLC, Sign of Times Inc., TPS SAS.",Donald Trump,"Trump Home Marks LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #067.",07/25/2017
"Former president of Trump International Hotel Hawaii LLC, in which Pres. Trump retains ownership interests. The company holds management and license agreements with Irongate Azrep BW LLC.",Donald Trump,"Trump International Hotel Hawaii LLC",Active, "7/25/2017 added management and license agreement details per 2017 financial disclosure, Part 2, ref. #071.",07/25/2017
"Former president of Trump Las Vegas Sales &amp; Marketing Inc., in which Pres. Trump retains ownership interests. The company holds a sales &amp; marketing deal with Trump Ruffin Tower I LLC.",Donald Trump,"Trump Las Vegas Sales &Amp; Marketing Inc.",Active, "7/25/2017 added sales &amp; marketing deal per 2017 financial disclosure, Part 2, ref. #191.",07/25/2017
"Former president/member of Trump Marks Fine Foods LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with Two Rivers Coffee.",Donald Trump,"Trump Marks Fine Foods LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #136.",07/25/2017
"Former president/chairman/director of Trump Marks Istanbul II Corp., in which Pres. Trump retains ownership interests. The company reportedly has no independent value or income, and is part of other entity structures. It holds a license deal with Ortadogu Otomotiv Ticaret AS.",Donald Trump,"Trump Marks Istanbul Ii Corp.",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #078.",07/25/2017
"Former president of Trump Marks LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with Elk Lighting Inc.",Donald Trump,"Trump Marks LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #079.",07/25/2017
"Former president/member of Trump Marks Mattress LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with Serta.",Donald Trump,"Trump Marks Mattress LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #080.",07/25/2017
"Former president/member of Trump Marks Menswear LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with PVH Corp., Peerless Clothing International, Parlux Ltd., Oxford Opthalmic, Randa Accessories.",Donald Trump,"Trump Marks Menswear LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #081.",07/25/2017
"Former president/member of Trump Marks New Rochelle LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with New Roc Parcel 1A LLC.",Donald Trump,"Trump Marks New Rochelle LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #082.",07/25/2017
"Former president/member of Trump Marks Panama LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with K Group Developers Inc.",Donald Trump,"Trump Marks Panama LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #083.",07/25/2017
"Former president/member of Trump Marks Philippines LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with Century City Development Corp.",Donald Trump,"Trump Marks Philippines LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #137.",07/25/2017
"Former president/member of Trump Marks Stamford LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with 33 Broad Street Associates II.",Donald Trump,"Trump Marks Stamford LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #139.",07/25/2017
"Former president/member of Trump Marks Sunny Isles I Member Corp., in which Pres. Trump retains ownership interests. The company holds a license deal with Michael Dezer &amp; Naomi Dezertov.",Donald Trump,"Trump Marks Sunny Isles I LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #140.",07/25/2017
"Former member/president of Trump Marks Waikiki LLC, in which Pres. Trump retains ownership interests. The company holds a license deal with Irongate Azrep BW LLC.",Donald Trump,"Trump Marks Waikiki LLC",Active, "7/25/2017 added license deal details per 2017 financial disclosure, Part 2, ref. #87.",07/25/2017
"Former president of Trump Toronto Hotel Management Corp., in which Pres. Trump retains an ownership interest. The company holds a management deal with Talon International Inc.",Donald Trump,"Trump Toronto Hotel Management Corp.",Active, "7/25/2017 added management deal details per 2017 financial disclosure, Part 2, ref. #142.",07/25/2017
"Pres. Trump holds a 4 percent limited partnership interest in the residential real estate firm Trump Tower Triplex through several entities, including the The Donald J. Trump Revocable Trust. The company is loosely valued at more than $50 million.",Donald Trump,"Trump Tower Triplex",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book Trump: Surviving at the Top, published 1990 by Random House.",Donald Trump,"Trump: Surviving At The Top",Active, "",07/25/2017
"Pres. Trump earns royalty income from the book Why We Want You To Be Rich, published 2006 by Plata Publishing LLC.",Donald Trump,"Why We Want You To Be Rich",Active, "",07/25/2017
"Former member/president of Wollman Rink Operations LLC, in which Pres. Trump retains an ownership interest. The company holds an operating agreement with the New York City Department of Parks &amp; Recreation.",Donald Trump,"Wollman Rink Operations LLC",Active, "7/25/2017 added operating agreement detail per 2017 financial disclosure, Part 2, ref. 119.",07/25/2017
"Pres. Trump resigned as president of 4 Shadow Tree Lane LLC, but retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,"4 Shadow Tree Lane LLC",Active, "",07/05/2017
"Pres. Trump resigned as president/director/chairman of 4 Shadow Tree Lane Member Corp., but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"4 Shadow Tree Lane Member Corp",Active, "",07/05/2017
"Pres. Trump resigned as a member and president of 40 Wall Development Associates LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"40 Wall Development Associates LLC",Active, "",07/05/2017
"Pres. Trump resigned as president of 40 Wall Street Commercial LLC, but retains an ownership interest.",Donald Trump,"40 Wall Street Commercial LLC",Active, "",07/05/2017
"Pres. Trump resigned his position from 40 Wall Street LLC, but retains an ownership interest.",Donald Trump,"40 Wall Street LLC",Active, "",07/05/2017
"Pres. Trump resigned his position from 40 Wall Street Member Corp., but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"40 Wall Street Member Corp",Active, "",07/05/2017
"Pres. Trump resigned his position from 401 Mezz Venture LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"401 Mezz Venture LLC",Active, "",07/05/2017
"Pres. Trump resigned his position from 401 North Wabash Venture LLC, but retains an ownership interest.",Donald Trump,"401 North Wabash Venture LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive 4T Holdings One LLC. Any current or former positions he may have held with the company are not reported on his financial disclosures.",Donald Trump,"4T Holdings One LLC",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in the now-dormant or inactive 4T Holdings Two LLC. Any current or former positions he may have held with the company are not reported on his financial disclosures.",Donald Trump,"4T Holdings Two LLC",Active, "",07/05/2017
"Pres. Trump announced the day before his inauguration that he had resigned from 721 33H Holdings LLC. However, his 2017 financial disclosure reveals that it remains an asset or source of income for his wife, Melania. (See listings for 721 33H Holdings LLC and 721 33H LLC.) Trump is not reporting that he personally holds an ownership stake.",Donald Trump,"721 33H Holdings LLC",Active, "",07/05/2017
"Pres. Trump announced the day before his inauguration that he had resigned from 721 33H Holdings LLC. However, his 2017 financial disclosure reveals that it remains an asset or source of income for his wife, Melania. (See listings for 721 33H Holdings LLC and 721 33H LLC.) Trump is not reporting that he personally holds an ownership stake.",Donald Trump,"721 33H Holdings LLC",Active, "",07/05/2017
"Pres. Trump resigned his position from 809 North Canon LLC, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"809 North Canon LLC",Active, "",07/05/2017
"Pres. Trump resigned his position from 809 North Canon Member Corporation, but retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"809 North Canon Member Corporation",Active, "",07/05/2017
"Pres. Trump resigned his position from 81 Pine Note Holder Inc., which is reportedly dormant or inactive. However, he retains an ownership interest.",Donald Trump,"81 Pine Note Holder Inc",Active, "",07/05/2017
"Pres. Trump resigned his position from Ace Entertainment Holdings Inc. (F/K/A Trump Casinos, F/K/A Inc. Trump Taj Mahal, Inc.), which is reportedly dormant or inactive. However, he retains an ownership interest.",Donald Trump,"Ace Entertainment Holdings Inc. (F/K/A Trump Casinos, F/K/A Inc. Trump Taj Mahal, Inc.)",Active, "",07/05/2017
"Pres. Trump resigned his position from Aviation Payroll Company, in which he retains an ownership interest. The company reportedly has no independent value or income, and provides back office support functions to other entities.",Donald Trump,"Aviation Payroll Company",Active, "",07/05/2017
"Part owner, with unnamed family members, of the dormant or inactive company Beach Haven Apartments #3 LLC.",Donald Trump,"Beach Haven Apartments #3 LLC",Active, "",07/05/2017
"Part owner, with unnamed family members, of Beach Haven Apt#1. Inc. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Beach Haven Apt#1. Inc.",Active, "",07/05/2017
"Part owner, with unnamed family members, of the now dormant or inactive company Beach Haven Shopping Center LLC.",Donald Trump,"Beach Haven Shopping Center LLC",Active, "",07/05/2017
"Pres. Trump resigned as director and president/treasurer/secretary of Bedford Hills Corp., but he retains an ownership interest.",Donald Trump,"Bedford Hills Corp",Active, "",07/05/2017
"Pres. Trump resigned as a member of the now dormant or inactive Briar Hall Operations LLC. He retains an ownership interest.",Donald Trump,"Briar Hall Operations LLC",Active, "",07/05/2017
"Pres. Trump resigned as director and president/treasurer/secretary of Briarcliff Properties, Inc. The company reportedly has no independent value or income, and is part of other entity structures. Trump retains an ownership interest.",Donald Trump,"Briarcliff Properties, Inc.",Active, "",07/05/2017
"Former president/member of the now-dormant or inactive C Development Ventures LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,"C Development Ventures LLC",Active, "",07/05/2017
"Former president/director/chairman of the now-dormant or nactive C Development Ventures Member Corp., in which Pres. Trump retains an ownership interest.",Donald Trump,"C Development Ventures Member Corp.",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in Caribusiness Investments, S.R.L. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Caribusiness Investments, S.R.L.",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in Caribusiness Investments, S.R.L. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Caribusiness Investments, S.R.L.",Active, "",07/05/2017
"Pres. Trump retains an ownership interest in Caribusiness Investments, S.R.L. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Caribusiness Investments, S.R.L.",Active, "",07/05/2017
"Former member of Caribusiness MRE LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Caribusiness Mre LLC",Active, "",07/05/2017
"Former member of the now dormant or inactive Chelsea Hall LLC. Pres. Trump retains an ownership interest.",Donald Trump,"Chelsea Hall LLC",Active, "",07/05/2017
"Former member/president of Chicago Unit Acquisition LLC, in which Pres. Trump retains an owernship interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,"Chicago Unit Acquisition LLC",Active, "",07/05/2017
"Former member/president of the now-dormant or inactive China Trademark LLC, in which Pres. Trump retains an owernship interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"China Trademark LLC",Active, "",07/05/2017
"Part-owner, with unnamed family members, of the now-dormant or inactive Clyde Hall, Inc. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Clyde Hall, Inc.",Active, "",07/05/2017
"Former director/vice-president of the now-dormant or inactive Coronet Hall Inc.",Donald Trump,"Coronet Hall Inc.",Active, "",07/05/2017
"Part-owner, with unnamed family members, of Country Apartments, LLC. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Country Apartments, LLC",Active, "",07/05/2017
"Part-owner, with unnamed family members, of the now-dormant or inactive Country Investors LLC. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Country Investors LLC",Active, "",07/05/2017
"Part-owner, with unnamed family members, of Country Properties, LLC. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Country Properties, LLC",Active, "",07/05/2017
"Former member/presdient of D B Pace Acquisition Member Corp., in which Pres. Trump retains an ownership interest.",Donald Trump,"D B Pace Acquisition Member Corp.",Active, "",07/05/2017
"Former member/presdient of D B Pace Acquisition, LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,"D B Pace Acquisition, LLC.",Active, "",07/05/2017
"Former president/secretary and director of Development Member Inc., in which Pres. Trump retains an ownership interest.",Donald Trump,"Development Member Inc.",Active, "",07/05/2017
"Former president/director of the now-dormant or inactive DJ Aerospace (Bermuda) Limited, of which Trump has retained an ownership stake through The Donald J. Trump Revocable Trust.",Donald Trump,"Dj Aerospace (Bermuda) Limited",Active, "",07/05/2017
"Former member/president of DJT Aerospace LLC, of which Trump retains an ownership stake through The Donald J. Trump Revocable Trust. According to a financial disclosure, the sole assets are aircraft.",Donald Trump,"Djt Aerospace LLC",Active, "",07/05/2017
"Former member &amp; president of DJT Entrepreneur Managing Member LLC (f/k/a DJT University Managing Member LLC). Trump retained an ownership stake in this company through The Donald J. Trump Revocable Trust. The company also holds an ownership stake in The Trump Entrepreneur Initiative LLC. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Djt Entrepreneur Managing Member LLC (F/K/A Djt University Managing Member LLC)",Active, "",07/05/2017
"Former member &amp; president of DJT Entrepreneur Member LLC (f/k/a DJT University Member LLC). Trump retained an ownership stake in this company through The Donald J. Trump Revocable Trust. The company also holds an ownership stake in The Trump Entrepreneur Initiative LLC. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Djt Entrepreneur Member LLC (F/K/A Djt University Member LLC)",Active, "",07/05/2017
"Former member &amp; president of DJT Holdings LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,"Djt Holdings LLC",Active, "",07/05/2017
"Former member &amp; president of DJT Holdings Managing Member LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Djt Holdings Managing Member LLC",Active, "",07/05/2017
"Former president &amp; director of the now-dormant or inactive DJT Land Holdings Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,"Djt Land Holdings Member Corp",Active, "",07/05/2017
"Former member/president of DJT Operations CX LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, is not inactive nor dormant, and is not part of an entity structure or license deal.",Donald Trump,"Djt Operations Cx LLC",Active, "",07/05/2017
"Former member/president of DJT Operations I LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,"Djt Operations I LLC",Active, "",07/05/2017
"Former member/president of DJT Operations II LLC, in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Djt Operations Ii LLC",Active, "",07/05/2017
"The now-dormant or inactive Donald J Trump Enterprises II LLC is wholly owned by unnamed Trump family members. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Donald J Trump Enterprises Ii LLC",Active, "",07/05/2017
"The now-inactive Donald J Trump Enterprises III LLC is wholly owned by unnamed Trump family members. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Donald J Trump Enterprises Iii LLC",Active, "",07/05/2017
"The now-inactive Donald J Trump Enterprises LLC is wholly owned by unnamed Trump family members. Any position with the company that he may hold or may have held in the past has not been disclosed.",Donald Trump,"Donald J Trump Enterprises LLC",Active, "",07/05/2017
"Former member/president and owner of the now-dormant or inactive DT App Warrant Holding LLC, in which Pres. Trump retains an ownership interest.",Donald Trump,"Dt App Warrant Holding LLC",Active, "",07/05/2017
"Former director/chairman/president and owner of the now-dormant or inactive DT App Warrant Holding Managing Member Corp., in which Pres. Trump retains an ownership interest.",Donald Trump,"Dt App Warrant Holding Managing Member Corp.",Active, "",07/05/2017
"Former president of DT Bali Golf Manager LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Bali Golf Manager LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Bali Golf Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Bali Golf Manager Member Corp.",Active, "",07/05/2017
"Former president of DT Bali Hotel Manager LLC, of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Bali Hotel Manager LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Bali Hotel Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and exists to hold license deals that are prospective, inactive, or otherwise do not currently have valuable assets or create income.",Donald Trump,"Dt Bali Hotel Manager Member Corp.",Active, "",07/05/2017
"Former director/chairman/president of DT Bali Technical Services Manager Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Dt Bali Technical Services Manager Member Corp.",Active, "",07/05/2017
"Former director of DT Connect Europe Limited, of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt Connect Europe Limited",Active, "",07/05/2017
"Former member/president of DT Connect II LLC. The company&#39;s sole underlying assets are reported as aircraft. Trump retains ownership through The Donald J. Trump Revocable Trust.",Donald Trump,"Dt Connect Ii LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Connect II Member Corp. Trump retains ownership through The Donald J. Trump Revocable Trust. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Dt Connect Ii Member Corp.",Active, "",07/05/2017
"Former member/president of DT Dubai Golf Manager LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt Dubai Golf Manager LLC",Active, "",07/05/2017
"Former director/chairman/president of DT Dubai Golf Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of the other entity structures.",Donald Trump,"Dt Dubai Golf Manager Member Corp.",Active, "",07/05/2017
"Former director/chairman/president of DT Dubai II Golf Manager Member Corp., of which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of the other entity structures.",Donald Trump,"Dt Dubai Ii Golf Manager Member Corp.",Active, "",07/05/2017
"Former president of DT Endeavor I LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt Endeavor I LLC",Active, "",07/05/2017
"Former director/chairman/president of the now-dormant or inactive DT Endeavor I Member Corp., of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt Endeavor I Member Corp.",Active, "",07/05/2017
"Former director/chairman/president of DT Home Marks International Member Corp., in which Pres. Trump retains an ownership interest. The company reportedly has no independent value or income, and is part of other entity structures.",Donald Trump,"Dt Home Marks International Member Corp.",Active, "",07/05/2017
"Former member/president of the now-dormant or inactive DT India Venture LLC, of which Pres. Trump retains an ownership interest.",Donald Trump,"Dt India Venture LLC",Active, "",07/05/2017
